Country,ISO3,Country of Origin,ISO3 of Origin,Population type,Source,Date,Individuals
Angola,AGO,Chad,TCD,Asylum-Seekers,"UNHCR, Government",30/06/2024,968
Angola,AGO,Chad,TCD,Asylum-Seekers,"UNHCR, Government",31/07/2024,968
Angola,AGO,Chad,TCD,Asylum-Seekers,"UNHCR, Government",31/08/2024,968
Angola,AGO,Chad,TCD,Asylum-Seekers,"UNHCR, Government",30/09/2024,968
Angola,AGO,Chad,TCD,Asylum-Seekers,"UNHCR, Government",30/11/2024,968
Angola,AGO,Côte d'Ivoire,CIV,Asylum-Seekers,"UNHCR, Government",30/06/2024,6357
Angola,AGO,Côte d'Ivoire,CIV,Asylum-Seekers,"UNHCR, Government",31/07/2024,6357
Angola,AGO,Côte d'Ivoire,CIV,Asylum-Seekers,"UNHCR, Government",31/08/2024,6357
Angola,AGO,Côte d'Ivoire,CIV,Asylum-Seekers,"UNHCR, Government",30/09/2024,6357
Angola,AGO,Côte d'Ivoire,CIV,Asylum-Seekers,"UNHCR, Government",30/11/2024,6357
Angola,AGO,Dem. Rep. of the Congo,COD,Asylum-Seekers,"UNHCR, Government",30/06/2024,22960
Angola,AGO,Dem. Rep. of the Congo,COD,Asylum-Seekers,"UNHCR, Government",31/07/2024,22971
Angola,AGO,Dem. Rep. of the Congo,COD,Asylum-Seekers,"UNHCR, Government",31/08/2024,22992
Angola,AGO,Dem. Rep. of the Congo,COD,Asylum-Seekers,"UNHCR, Government",30/09/2024,22947
Angola,AGO,Dem. Rep. of the Congo,COD,Asylum-Seekers,"UNHCR, Government",30/11/2024,22978
Angola,AGO,Eritrea,ERI,Asylum-Seekers,"UNHCR, Government",30/06/2024,1874
Angola,AGO,Eritrea,ERI,Asylum-Seekers,"UNHCR, Government",31/07/2024,1874
Angola,AGO,Eritrea,ERI,Asylum-Seekers,"UNHCR, Government",31/08/2024,1874
Angola,AGO,Eritrea,ERI,Asylum-Seekers,"UNHCR, Government",30/09/2024,1874
Angola,AGO,Eritrea,ERI,Asylum-Seekers,"UNHCR, Government",30/11/2024,1874
Angola,AGO,Guinea,GIN,Refugees,"UNHCR, Government",30/06/2024,9272
Angola,AGO,Guinea,GIN,Asylum-Seekers,"UNHCR, Government",30/06/2024,9272
Angola,AGO,Guinea,GIN,Refugees,"UNHCR, Government",31/07/2024,9272
Angola,AGO,Guinea,GIN,Asylum-Seekers,"UNHCR, Government",31/07/2024,9272
Angola,AGO,Guinea,GIN,Refugees,"UNHCR, Government",31/08/2024,9272
Angola,AGO,Guinea,GIN,Asylum-Seekers,"UNHCR, Government",31/08/2024,9272
Angola,AGO,Guinea,GIN,Refugees,"UNHCR, Government",30/09/2024,9272
Angola,AGO,Guinea,GIN,Asylum-Seekers,"UNHCR, Government",30/09/2024,9272
Angola,AGO,Guinea,GIN,Asylum-Seekers,"UNHCR, Government",30/11/2024,9272
Angola,AGO,Liberia,LBR,Asylum-Seekers,"UNHCR, Government",30/06/2024,639
Angola,AGO,Liberia,LBR,Asylum-Seekers,"UNHCR, Government",31/07/2024,639
Angola,AGO,Liberia,LBR,Asylum-Seekers,"UNHCR, Government",31/08/2024,639
Angola,AGO,Liberia,LBR,Asylum-Seekers,"UNHCR, Government",30/09/2024,639
Angola,AGO,Liberia,LBR,Asylum-Seekers,"UNHCR, Government",30/11/2024,639
Angola,AGO,Mauritania,MRT,Asylum-Seekers,"UNHCR, Government",30/06/2024,5725
Angola,AGO,Mauritania,MRT,Asylum-Seekers,"UNHCR, Government",31/07/2024,5722
Angola,AGO,Mauritania,MRT,Asylum-Seekers,"UNHCR, Government",31/08/2024,5722
Angola,AGO,Mauritania,MRT,Asylum-Seekers,"UNHCR, Government",30/09/2024,5722
Angola,AGO,Mauritania,MRT,Asylum-Seekers,"UNHCR, Government",30/11/2024,5725
Angola,AGO,Others,,Asylum-Seekers,"UNHCR, Government",30/06/2024,1323
Angola,AGO,Others,,Asylum-Seekers,"UNHCR, Government",31/07/2024,1323
Angola,AGO,Others,,Asylum-Seekers,"UNHCR, Government",31/08/2024,1323
Angola,AGO,Others,,Asylum-Seekers,"UNHCR, Government",30/09/2024,1323
Angola,AGO,Others,,Asylum-Seekers,"UNHCR, Government",30/11/2024,1323
Angola,AGO,Rwanda,RWA,Refugees,"UNHCR, Government",30/06/2024,628
Angola,AGO,Rwanda,RWA,Refugees,"UNHCR, Government",31/07/2024,628
Angola,AGO,Rwanda,RWA,Refugees,"UNHCR, Government",31/08/2024,628
Angola,AGO,Rwanda,RWA,Refugees,"UNHCR, Government",30/09/2024,628
Angola,AGO,Rwanda,RWA,Refugees,"UNHCR, Government",30/11/2024,628
Angola,AGO,Sierra Leone,SLE,Refugees,"UNHCR, Government",30/06/2024,1910
Angola,AGO,Sierra Leone,SLE,Asylum-Seekers,"UNHCR, Government",30/06/2024,1910
Angola,AGO,Sierra Leone,SLE,Refugees,"UNHCR, Government",31/07/2024,1910
Angola,AGO,Sierra Leone,SLE,Asylum-Seekers,"UNHCR, Government",31/07/2024,1910
Angola,AGO,Sierra Leone,SLE,Refugees,"UNHCR, Government",31/08/2024,1910
Angola,AGO,Sierra Leone,SLE,Refugees,"UNHCR, Government",30/09/2024,1910
Angola,AGO,Sierra Leone,SLE,Asylum-Seekers,"UNHCR, Government",30/09/2024,1910
Angola,AGO,Sierra Leone,SLE,Asylum-Seekers,"UNHCR, Government",30/11/2024,1910
Angola,AGO,Somalia,SOM,Refugees,"UNHCR, Government",30/06/2024,2002
Angola,AGO,Somalia,SOM,Refugees,"UNHCR, Government",31/07/2024,2002
Angola,AGO,Somalia,SOM,Refugees,"UNHCR, Government",31/08/2024,2002
Angola,AGO,Somalia,SOM,Refugees,"UNHCR, Government",30/09/2024,2002
Angola,AGO,Somalia,SOM,Refugees,"UNHCR, Government",30/11/2024,2002
Angola,AGO,Sudan,SDN,Asylum-Seekers,"UNHCR, Government",30/06/2024,1949
Angola,AGO,Sudan,SDN,Asylum-Seekers,"UNHCR, Government",31/07/2024,1949
Angola,AGO,Sudan,SDN,Asylum-Seekers,"UNHCR, Government",31/08/2024,1949
Angola,AGO,Sudan,SDN,Asylum-Seekers,"UNHCR, Government",30/09/2024,1949
Angola,AGO,Sudan,SDN,Asylum-Seekers,"UNHCR, Government",30/11/2024,1949
Burundi,BDI,Dem. Rep. of the Congo,COD,Refugees,"UNHCR, Government",31/03/2024,87580
Burundi,BDI,Dem. Rep. of the Congo,COD,Asylum-Seekers,"UNHCR, Government",31/03/2024,87580
Burundi,BDI,Dem. Rep. of the Congo,COD,Asylum-Seekers,"UNHCR, Government",31/07/2024,88931
Burundi,BDI,Dem. Rep. of the Congo,COD,Asylum-Seekers,"UNHCR, Government",31/07/2024,88933
Burundi,BDI,Others,,Asylum-Seekers,"UNHCR, Government",30/11/2023,0
Burundi,BDI,Others,,Asylum-Seekers,"UNHCR, Government",29/02/2024,2
Burundi,BDI,Rwanda,RWA,Refugees,"UNHCR, Government",31/03/2024,961
Burundi,BDI,Rwanda,RWA,Refugees,"UNHCR, Government",31/07/2024,960
